GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC03_EST_VC56,HC03_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC03_EST_VC57,HC03_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59
1400000US48339691900,48339691900,"Census Tract 6919, Montgomery County, Texas",6730,737,680,484,10.1,6.9,356,336,,,,,817,489,,,,,1026,576,,,,,1174,585,,,,,1433,604,,,,,2713,772,,,,,4310,902,,,,,4698,866,,,,
1400000US48339692001,48339692001,"Census Tract 6920.01, Montgomery County, Texas",32778,1946,609,415,1.9,1.3,394,330,,,,,660,417,,,,,1239,788,,,,,1239,788,,,,,2565,1648,,,,,8543,2878,,,,,14333,2791,,,,,19465,3057,,,,
1400000US48339692002,48339692002,"Census Tract 6920.02, Montgomery County, Texas",10428,662,128,114,1.2,1.1,69,60,,,,,202,162,,,,,288,189,,,,,629,388,,,,,671,395,,,,,1303,548,,,,,2564,794,,,,,3510,847,,,,
1400000US48339692100,48339692100,"Census Tract 6921, Montgomery County, Texas",14093,992,1625,857,11.5,5.9,773,662,,,,,2072,878,,,,,2402,886,,,,,2814,914,,,,,3080,926,,,,,5963,1109,,,,,7706,1175,,,,,9559,1183,,,,
1400000US48339692200,48339692200,"Census Tract 6922, Montgomery County, Texas",8709,770,829,323,9.5,3.8,409,203,,,,,1630,539,,,,,2482,840,,,,,3235,742,,,,,3330,748,,,,,5189,864,,,,,6990,836,,,,,7620,812,,,,
1400000US48339692300,48339692300,"Census Tract 6923, Montgomery County, Texas",17489,1310,2257,1163,12.9,6.3,839,623,,,,,2678,1250,,,,,3343,1455,,,,,4510,1689,,,,,4930,1685,,,,,6386,1790,,,,,9660,1884,,,,,12018,1749,,,,
1400000US48339692400,48339692400,"Census Tract 6924, Montgomery County, Texas",10038,968,1507,707,15,6.5,247,194,,,,,1994,841,,,,,2424,828,,,,,2601,826,,,,,3104,885,,,,,4610,1076,,,,,6138,1150,,,,,7776,1128,,,,
1400000US48339692500,48339692500,"Census Tract 6925, Montgomery County, Texas",8995,935,1802,760,20,7.6,770,456,,,,,2649,927,,,,,3021,960,,,,,4707,918,,,,,4878,920,,,,,6258,867,,,,,6879,893,,,,,7445,859,,,,
1400000US48339692601,48339692601,"Census Tract 6926.01, Montgomery County, Texas",4491,584,1401,583,31.2,11.4,558,308,,,,,1743,644,,,,,1976,628,,,,,2279,657,,,,,2494,687,,,,,3259,657,,,,,4111,626,,,,,4240,616,,,,
1400000US48339692602,48339692602,"Census Tract 6926.02, Montgomery County, Texas",13005,1186,2967,1029,22.8,7.7,999,478,,,,,3069,1059,,,,,4493,990,,,,,5500,1155,,,,,6092,1111,,,,,8419,1261,,,,,9830,1487,,,,,11037,1370,,,,
1400000US48339692700,48339692700,"Census Tract 6927, Montgomery County, Texas",7564,768,1659,770,21.9,9.1,280,262,,,,,2148,819,,,,,2684,908,,,,,3211,958,,,,,3637,1033,,,,,4696,980,,,,,5323,933,,,,,5864,915,,,,
1400000US48339692801,48339692801,"Census Tract 6928.01, Montgomery County, Texas",8631,614,1510,569,17.5,6.1,365,192,,,,,2297,603,,,,,2496,606,,,,,2974,603,,,,,3281,642,,,,,4759,754,,,,,5760,823,,,,,6906,751,,,,
1400000US48339692802,48339692802,"Census Tract 6928.02, Montgomery County, Texas",5953,716,1642,622,27.6,9.4,474,338,,,,,2135,648,,,,,2551,652,,,,,2909,695,,,,,2967,696,,,,,3925,809,,,,,4969,762,,,,,5418,734,,,,
1400000US48339692900,48339692900,"Census Tract 6929, Montgomery County, Texas",4981,636,660,384,13.3,7.4,59,43,,,,,1240,512,,,,,1266,509,,,,,1429,528,,,,,1510,531,,,,,2507,645,,,,,3608,733,,,,,4184,725,,,,
1400000US48339693000,48339693000,"Census Tract 6930, Montgomery County, Texas",9846,874,2722,785,27.6,7.4,482,247,,,,,3262,864,,,,,3797,885,,,,,5282,1215,,,,,5605,1189,,,,,6835,1169,,,,,8355,1085,,,,,8617,1031,,,,
1400000US48339693101,48339693101,"Census Tract 6931.01, Montgomery County, Texas",6056,596,1618,423,26.7,6.5,760,286,,,,,2137,460,,,,,2650,545,,,,,3415,552,,,,,3844,640,,,,,4981,641,,,,,5371,636,,,,,5502,615,,,,
1400000US48339693102,48339693102,"Census Tract 6931.02, Montgomery County, Texas",4708,476,717,292,15.2,6,100,72,,,,,1143,434,,,,,1391,466,,,,,1921,518,,,,,2090,515,,,,,3237,567,,,,,3793,510,,,,,4219,527,,,,
1400000US48339693200,48339693200,"Census Tract 6932, Montgomery County, Texas",8706,508,616,478,7.1,5.4,139,117,,,,,690,484,,,,,817,505,,,,,1183,618,,,,,1225,623,,,,,2900,844,,,,,4538,666,,,,,5591,700,,,,
1400000US48339693300,48339693300,"Census Tract 6933, Montgomery County, Texas",7341,598,906,345,12.3,4.6,272,181,,,,,921,352,,,,,1327,501,,,,,1494,500,,,,,1916,559,,,,,3576,844,,,,,4520,809,,,,,5662,793,,,,
1400000US48339693400,48339693400,"Census Tract 6934, Montgomery County, Texas",3986,434,1597,361,40.1,8,537,235,,,,,2232,498,,,,,2819,475,,,,,3200,470,,,,,3368,485,,,,,3725,463,,,,,3934,434,,,,,3986,434,,,,
1400000US48339693500,48339693500,"Census Tract 6935, Montgomery County, Texas",6207,715,972,689,15.7,10.1,772,678,,,,,1494,717,,,,,1766,685,,,,,2300,762,,,,,2433,771,,,,,4184,795,,,,,4951,847,,,,,5600,760,,,,
1400000US48339693600,48339693600,"Census Tract 6936, Montgomery County, Texas",4096,462,705,290,17.2,6.8,469,239,,,,,1064,378,,,,,1223,427,,,,,1671,439,,,,,1742,442,,,,,2526,469,,,,,2918,463,,,,,3315,497,,,,
1400000US48339693700,48339693700,"Census Tract 6937, Montgomery County, Texas",9486,672,803,408,8.5,4.2,506,358,,,,,1276,502,,,,,1676,508,,,,,2097,588,,,,,2255,607,,,,,3183,681,,,,,4235,671,,,,,5424,770,,,,
1400000US48339693800,48339693800,"Census Tract 6938, Montgomery County, Texas",4900,570,871,423,17.8,7.9,138,85,,,,,1466,492,,,,,1721,433,,,,,2251,526,,,,,2370,540,,,,,3404,650,,,,,4189,638,,,,,4452,607,,,,
